Sample Skill,Similar Skills
analyzing,quality assurance.,test plans,documenting,requirement analysis,software testing
selenium web driver,webdriver,selenium webdriver,appium,automation tools,webdriver.
bmc remedy,bmc,autosys,pvcs,remedy,monitoring tool
accounts,invoice management,closing management,fixed asset,cash flow statements,accounts payable
python,django,perl,pyramid,bash,pandas
analysis,requirements gathering,information technology,systems analysis,gap analysis,data analysis
sap hana,hana,sap bi,sap bo,sap abap,sap bw
ec2,s3,rds,efs,vpc,aws services
cadence,soarian,cpoe,staff development,complaint handling,qualitative
api development,sos,microservices architecture,restful apis,dropwizard,"api , soap"
keen eye for detail,image editing,magento,opencv,liferay,java programming language
strategic thinking,communicator,problem - solving,decision making,organizational skills,ethics
exchange server,proliant,netapp,wintel,windows server 2008 r2,vmware vsphere
layer 3,802.1q,wlc,vpls,isr,routing.
spring boot,spring,spring framework,struts2,hibernate,spring mvc
aws config,fireeye,packaging.,td,base,bullhorn
programming,scripting languages,dotnet,programming skills,java.,django rest framework
java script,css.,markup languages,javascript,backend.,html
training,motivate team,autocad.,competitive environment,teamwork,grammar
machine learning,deep learning,scipy,data mining,tk,python
testing,manual testing,testing.,regression,integration testing,uat testing
layer - 2,802.1q,layer 3,vpls,isr,vpn.
image segmentation,oracle.,segmentation,windows.,veritas,net backup
analytical,problem solving skills,analytical skills,problem solving,interpersonal,problem solving skills.
workbench,toad.,oracle 10g,oracle 11g,oracle.,sql developer
sap,hana,erp,sap bw,sap security,sap r / 3
java,core java,java.,data structure,programming,java programming
data wrangling,power bi,sap erp,yammer,spotfire,as400
english,hindi,tamil,games,punjabi,personality development
programming.,windows 8.,powerpc,plc.,objective c,cgi
software,agile methodology.,software development,development life cycle,web applications,application development
windows xp,vista,xp,windows 7,windows,mac os
idl,cse,windows 10,script language,unix scripting,cgi
procedures and purchasing standards,purchasing (5 years),develop new business opportunities,informatica (1 year),their significance and relationship and being able to identify appropriate solutions. diplomatically challenges and influences when necessary. business acumen: project management techniques from project costing and contract creation through to initiation,sap (2 years)
firebug,jasmine,vsts,testing tools,test framework,gulp
bugzilla,bug tracking tool,bug tracking,jira,bug tracking tools,hp alm
provide solutions,site search,training needs,food processing,lexisnexis,regulatory compliance
ms access,ms - access,ms access.,crystal reports,"oracle , pl - sql",ms sql
high availability,lvm,file systems,file system,migrations,websphere mq
middleware,application deployments,jsps,dropwizard,support teams,cxf
it,web - based,software development life cycle.,f f,web based applications,advanced java
designing,design,data flow.,development life - cycle,web based,seo ) techniques.
bi,sap bo,tableau,spotfire,cognos,oltp
remote desktop,vmax,help management,symmetrix,dvb,software support
ssrs.,sql - server,entity framework.,easytrieve,microsoft certified,web service.
sql,pl / sql,sql server,rdbms,ms sql server,"sql , pl"
qa db,power center,etl,informatica,owb,informatica power center
